Packet Number,Time
1, 0
2, 0.25
3, 1.0
4, 1.75
5, 2.5
6, 2.75
7, 3.5
8, 3.75
9, 4.0
10, 4.25
11, 5.0
12, 5.75
13, 6.0
14, 6.75
15, 7.0
16, 7.25
17, 7.5
18, 7.75
19, 8.5
20, 9.25
21, 9.5
22, 10.25
23, 10.5
24, 10.75
25, 11.5
26, 11.75
27, 12.5
28, 13.25
29, 14.0
30, 14.25
31, 14.5
32, 15.25
33, 16.0
34, 16.25
35, 17.0
36, 17.25
37, 17.5
38, 17.75
39, 18.0
40, 18.25
41, 18.5
42, 19.25
43, 20.0
44, 20.25
45, 21.0
46, 21.25
47, 21.5
48, 22.25
49, 22.5
50, 23.25
51, 24.0
52, 24.75
53, 25.0
54, 25.25
55, 26.0
56, 26.75
57, 27.0
58, 27.75
59, 28.0
60, 28.25
61, 28.5
62, 28.75
63, 29.0
64, 29.25
65, 30.0
66, 30.75
67, 31.0
68, 31.25
69, 31.5
70, 31.75
71, 32.5
72, 32.75
73, 33.5
74, 33.75
75, 34.0
76, 34.25
77, 34.5
78, 34.75
79, 35.0
80, 35.75
81, 36.5
82, 37.25
83, 37.5
84, 37.75
85, 38.5
86, 39.25
87, 39.5
88, 40.25
89, 41.0
90, 41.25
91, 41.5
92, 42.25
93, 42.5
94, 43.25
95, 43.5
96, 44.25
97, 45.0
98, 45.25
99, 45.5
100, 45.75
101, 46.5
102, 47.25
103, 47.5
104, 48.25
105, 49.0
106, 49.75
107, 50.0
108, 50.25
109, 51.0
110, 51.25
111, 51.5
112, 52.25
113, 53.0
114, 53.25
115, 53.5
116, 54.25
117, 54.5
118, 55.25
119, 55.5
120, 56.25
121, 57.0
122, 57.75
123, 58.0
124, 58.75
125, 59.0
126, 59.25
127, 59.5
128, 60.25
129, 60.5
130, 60.75
131, 61.0
132, 61.25
133, 61.5
134, 61.75
135, 62.5
136, 63.25
137, 63.5
138, 64.25
139, 65.0
140, 65.25
141, 66.0
142, 66.25
143, 67.0
144, 67.75
145, 68.0
146, 68.25
147, 69.0
148, 69.25
149, 70.0
150, 70.25
151, 71.0
152, 71.75
153, 72.5
154, 72.75
155, 73.0
156, 73.75
157, 74.5
158, 74.75
159, 75.5
160, 76.25
161, 77.0
162, 77.25
163, 77.5
164, 78.25
165, 79.0
166, 79.25
167, 80.0
168, 80.75
169, 81.0
170, 81.25
171, 81.5
172, 81.75
173, 82.5
174, 82.75
175, 83.5
176, 84.25
177, 84.5
178, 84.75
179, 85.5
180, 86.25
181, 87.0
182, 87.25
183, 88.0
184, 88.75
185, 89.0
186, 89.25
187, 90.0
188, 90.25
189, 91.0
